language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
middle_high_german	dar	227	S	0.8333333333333334	den	0.16666666666666666	S,S,S,S,S,L	den,ze,get,ent,als,e
middle_high_german	CE	98	L	0.8333333333333334	s	0.16666666666666666	L,L,L,L,N,L	s,u,i,m,,r
middle_high_german	Sol	51	S	0.8333333333333334	mir	0.16666666666666666	S,S,S,S,L,S	mir,iu,ane,ze,z,her
middle_high_german	qokal	41	L	0.8333333333333334	r	0.16666666666666666	L,L,L,D,L,L	r,a,l,zz,m,z
middle_high_german	al	476	W	0.6666666666666666	uuolde	0.16666666666666666	W,S,W,W,S,W	uuolde,man,schoene,uuider,ein,muoste
middle_high_german	Ey	370	S	0.6666666666666666	n	0.16666666666666666	L,S,S,S,L,S	n,mir,diu,ten,e,von
middle_high_german	od	222	S	0.6666666666666666	ide	0.16666666666666666	S,N,S,S,S,L	ide,,ich,er,ant,e
middle_high_german	air	210	S	0.6666666666666666	t	0.16666666666666666	L,S,S,S,L,S	t,ane,vil,von,e,han
middle_high_german	i	118	L	0.6666666666666666		0.16666666666666666	N,S,L,L,L,L	,en,n,r,l,a
middle_high_german	S	439	S	0.5	der	0.16666666666666666	S,W,W,S,S,W	der,ungemach,geschiht,uua,ich,ritter
middle_high_german	r	250	L	0.5	e	0.16666666666666666	L,S,S,N,L,L	e,ien,si,,z,r
middle_high_german	Ceol	77	L	0.5	z	0.16666666666666666	L,L,L,S,S,S	z,t,e,vil,diu,mit
middle_high_german	qol	45	L	0.5	o	0.16666666666666666	L,D,S,S,L,L	o,uu,ben,mit,m,e
old_italian	E	497	N	1.0		1.0	N,N,N,N,N,N	,,,,,
old_italian	Ce	609	N	0.8333333333333334		0.8333333333333334	N,N,W,N,N,N	,,altre,,,
old_italian	m	80	L	1.0	i	0.6666666666666666	L,L,L,L,L,L	i,o,i,o,i,i
old_italian	oky	44	L	1.0	a	0.6666666666666666	L,L,L,L,L,L	a,a,a,a,i,l
old_italian	lk	249	L	0.8333333333333334	s	0.6666666666666666	L,L,L,L,L,S	s,s,s,s,l,mon
old_italian	eol	75	L	0.8333333333333334	o	0.6666666666666666	S,L,L,L,L,L	no,o,o,i,o,o
old_italian	oty	48	L	0.8333333333333334	l	0.6666666666666666	L,L,L,S,L,L	l,i,l,re,l,l
old_italian	F	13	L	0.8333333333333334	n	0.6666666666666666	L,L,L,L,L,D	n,n,i,n,n,ii
old_italian	b	3	L	0.8333333333333334	o	0.6666666666666666	L,L,L,L,D,L	o,o,o,o,ee,d
old_italian	e	453	N	0.6666666666666666		0.6666666666666666	W,N,N,W,N,N	questi,,,quello,,
old_italian	p	338	N	0.6666666666666666		0.6666666666666666	N,S,N,N,N,S	,ser,,,,par
old_italian	d	597	W	1.0	quelli	0.5	W,W,W,W,W,W	questa,quelli,quanto,altrui,quelli,quelli
