book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	RAW_GROUP_IDENTITY	462	1	1	1	1	1	0.0021645021645	0.230769230769
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	RAW_CHAR3	462	1	1	1	1	1	0.0021645021645	0.337883959044
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	PAGE_HOST_IDENTITY	462	1	1	1	1	1	0.0021645021645	0.275449101796
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	PAGE_HOST_CHAR3	462	1	1	1	1	1	0.0021645021645	0.320792079208
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	COMPILER_SIGNATURE	462	6	0.166666666667	0	1	1	0.012987012987	0.395348837209
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	MARKER_AND_POSITION	462	331	0.00302114803625	0	0	0	0.71645021645	0.529411764706
Band2	NB_B2_R000012	CONTENT	NB_B2_R000015	0.25	HOST_PLUS_COMPILER	462	1	1	1	1	1	0.0021645021645	0.230769230769
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	RAW_GROUP_IDENTITY	462	1	1	1	1	1	0.0021645021645	0.0888888888889
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	RAW_CHAR3	462	4	0.25	0	1	1	0.00865800865801	0.115625
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	PAGE_HOST_IDENTITY	462	10	0.1	0	1	1	0.021645021645	0.093023255814
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	PAGE_HOST_CHAR3	462	21	0.047619047619	0	0	1	0.0454545454545	0.102473498233
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	COMPILER_SIGNATURE	462	226	0.00442477876106	0	0	0	0.489177489177	0.173913043478
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	MARKER_AND_POSITION	462	208	0.00480769230769	0	0	0	0.450216450216	0.615384615385
Band2	NB_B2_R000013	CONTENT	NB_B2_R000132	0.102941176471	HOST_PLUS_COMPILER	462	1	1	1	1	1	0.0021645021645	0.0888888888889
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	RAW_GROUP_IDENTITY	464	1	1	1	1	1	0.00215517241379	0.402173913043
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	RAW_CHAR3	464	1	1	1	1	1	0.00215517241379	0.5442043222
Band2	NB_B2_R000014	CONTENT	NB_B2_R000015	0.587301587302	PAGE_HOST_IDENTITY	464	1	1	1	1	1	0.00215517241379	0.44966442953
